,3-PG,ADP,ATP,Acetoacetyl-CoA,Acetyl-CoA,CO2,CoA,Dimethylallyl diphosphate,Geraniol,Geranyl diphosphate,H2O,HCO2-,HMG-CoA,Hplus,Isopentanyl diphosphate,Mevalonate,Mevalonate-5-diphosphate,Mevalonate-5-phosphate,NADH,NADPH,NADPplus,NADplus,Orthophosphate,Propionyl-CoA,Pyruvate,diphosphate,
,Intermediate,Output,Input,Intermediate,Intermediate,Input/Output,Input/Output,Intermediate,Target,Intermediate,Input/Output,Intermediate,Intermediate,Input/Output,Intermediate,Intermediate,Intermediate,Intermediate,Input,Intermediate,Input/Output,Input/Output,Input/Output,Intermediate,Intermediate,Input/Output,
CO2 + NADH + Hplus → HCO2-,0,0,0,0,0,-1,0,0,0,0,0,1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,,
6*HCO2- + 10*ATP + 4*NADH → 2*3-PG,2,0,-10,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,,
2*3-PG → 2*Pyruvate + 2*ATP,-2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,
2*Pyruvate → 2*Acetyl-CoA + 2*NADH + 2*CO2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,-2,0,,
Acetyl-CoA + CO2 + 3*NADH→ Propionyl-CoA,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,1,0,0,,
2*Acetyl-CoA → Acetoacetyl-CoA + CoA,0,0,0,1,-2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Acetoacetyl-CoA + Acetyl-CoA + H2O → HMG-CoA + CoA,0,0,0,-1,-1,0,1,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
HMG-CoA + 2*NADPH + 2*Hplus → Mevalonate + CoA + 2*NADPplus,0,0,0,0,0,0,1,0,0,0,0,0,-1,-2,0,1,0,0,0,-2,2,0,0,0,0,0,,
Mevalonate + ATP → ADP + Mevalonate-5-phosphate,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,,
ATP + Mevalonate-5-phosphate → ADP + Mevalonate-5-diphosphate,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,,
ATP + Mevalonate-5-diphosphate → ADP + Isopentanyl diphosphate + Orthophosphate + CO2,0,1,-1,0,0,1,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,1,0,0,0,,
Isopentanyl diphosphate → Dimethylallyl diphosphate,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,,
Isopentanyl diphosphate + Dimethylallyl diphosphate → Geranyl diphosphate + diphosphate,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,,
Geranyl diphosphate + H2O → Geraniol + diphosphate,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
NADH + NADPplus → NADPH + NADplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,0,,
